pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
101074;a50f4a0c;Malente;The Spirit Of Malente;jazz;;;;Boogaloo;Sell Marihuana;If I Was You;Fertig;Sunshine Stars;The Spirit;Ska Wars;Mash Up The Town;Life Don't Work;Sweet Soul Music;Twist;Rock;;
101075;a50f890c;Pee Wee Ellis;Ridin' Mighty High;jazz;;;;I Depend On You;What's Up With That?;Oh My God;Grandma's Hands;Shake A Hand;Mighty High;Blues Alley;Goin' Up Yonder;Mary Don't You Weep;How Great Thou Art/The Old Rugged Cross;Oh My God (d-phunk Remix);Mighty High (d-phunk Remix);;
101076;a510160b;Various Artists;Easy Tempo Experience - Third Dimension;jazz;Easy Listening;;;Piero Umiliani - Panoramica - Cenematic Orchestra;Piero Umiliani - Colpo Rovente - Benja & Fatalis;Piero Umiliani - L'uomo E La Citta - Raphael Sebbag;Piero Umiliani - Elizeviro - Izuru Utsumi;Piero Umiliani - Momento Ritmico - Open Transport;Stefano Torossi - Walking In The Dark - DJ Vadim;Piero Umiliani - Discomania - Marco Polo Cecere;G.P. Reverberi - Malizie Di Venere - Captain Funk;Piero Umiliani- Lady Magnolia - Kid Loco;Piero Umiliani - Hard Times - Astronaughty;Lesiman - Messaggio - Gak Sato;;;
101077;a510b80d;Roberto Perera;Sensual;jazz;Jazz;;2002;Sensual;Un Beso (A Kiss);A Puro Dolor (Pure Pain);Suenos Misteriosos (Mysterious Dreams);Crusing Leblon;Gracias A La Vida (Here's To Life);El Coqui Salsero;Gina;Remembering Antonio;Tormenta De Arena (Sandstorm);Classical Gas;Susurro De Olas (Whispering Waves);Data Track;
101078;a510dc0d;Urubu;Freedom;jazz;;;;Freedom;Vida;The Tonic;Jazz Swing;Under The Stars;G-Funk;Wake Up;Samba Reggar;Fidth Parallel;Just Can't Wait;Yoyo;Diga-La;Only For You;
101079;a511410b;John McLaughlin;The Promise;jazz;Jazz;YEAR: 1995;1995;Django;Thelonius Melodius;Amy And Joseph;No Return;El Ciego;Jazz Jungle;The Wish;English Jam;Tokyo Decadence;Shin Jin Rui;The Peacocks;;;
101080;a5127d0d;New York Swing;Live at The;jazz;Swing;;;Unknown #23 - Track01;Unknown #23 - Track02;Unknown #23 - Track03;Unknown #23 - Track04;Unknown #23 - Track05;Unknown #23 - Track06;Unknown #23 - Track07;Unknown #23 - Track08;Unknown #23 - Track09;Unknown #23 - Track10;Unknown #23 - Track11;Unknown #23 - Track12;Unknown #23 - Track13;
101081;a607580c;Bararbar Streisand;My Name Is Babra;jazz;;;;My Name is Barbra;A Kid Again / I'm Five!;Jenny Rebecca;My Pa;Sweet Zoo;Where is the Wonder;I Can See It;Someone To Watch Over Me;I've got No Strings;If You Were the Only boy in the World;Why Did I Shoose You?;My  Man;;
101082;a6089d0c;Various Artists;Big Band Boogie;jazz;Jazz;YEAR: 1902 ID3G:  22;1902;Chattanooga Choo Choo / Glenn Miller Orchestra;Jersey Bounce / Benny Goodman;Jumpin' At The Woodside / Count Basie;Blowin' Up A Storm / Woody Herman;La Paloma / Artie Shaw;Stardust / Duke Ellington;Opus One / Tommy Dorsey;Tuxedo Junction / Glenn Miller Orchestra;Sophisticated Swing / Jimmy Dorsey;In The Mood / Glenn Miller Orchestra;How High The Moon / Duke Ellington;One O'Clock Jump / Count Basie;;
101083;a608ee0c;Various;Sounds of the Big Bands, Volume 2;jazz;;;;Old Black Joe (Gene Krupa);Let's Do It (Bunny Berigan);It's a Long, Long Way to Tipperary (Artie Shaw);Moonlight Serenade (Gene Krupa);St. Louis Blues (Joe Haymens);Bugle Call Rag (Don Redman);East Side Kick (Woody Herman);Because I Love You (Gene Krupa);You and Your Love (Gene Krupa);Thou Swell (Artie Shaw);Rhythm of the Tambourine (Fletcher Henderson);get Your Boots Laced Papa (Woody Herman);;
101084;a608f20d;Deep River Quartet;Hark the Herald Angels Sing;jazz;Jazz;\nYEAR: 1999  ID3G:   8;1999;Oh little town of Bethlehem;Glory Hallelujah to the new born king;I'm dreaming of a white Christmas;Mary had a baby;Here comes Santa Claus;Oh Christmas tree;Little Shepherd boy;Go tell it on the mountain;Hark the herald angels sing;When was Jesus born;Ave Maria;Rudplh the Red-Nosed Reindeer;Silent night;
101087;a60a090e;Fats Waller;Greatest Hits [RCA];jazz;Jazz;;1996;Ain't Misbehavin';Handful of Keys;I'm Crazy 'bout My Baby;Honeysuckle Rose;Keepin' Out of Mischief Now;Tea for Two;The Joint is Jumpin';I Ain't Got Nobody;Smashing Thirds;Your Feet's Too Big;Ring Dem Bells;Carolina Shout;S'posin';"Lulu\s Back in Town"""
101088;a60ab70b;Geri Allen Trio;Twylight;jazz;;Geri Allen: piano, keyboards\nJaribu Shahid: bass\nTani Tabba;;When Kabuya Dances;Shadow Series;Skin;A Place of Power;Twylight;Stop The World;Wood;Little Wind;Dream Time;Blue;Black Pools;;;
101089;a60b590b;Mae Moore;It's a Funny World;jazz;Jazz;;2002;Funny World;Love Will Brin You Back;Who Knows;All I Can't Explain;The Reckoning;Red Clay Hills;The Last Time;Bohemia;Only Man On Coney Island;All I Have;Superstitions;;;
101090;a60bbc0c,a80bbc0c;Gerry Mulligan;Re-birth of the cool;jazz;;;;Israel;Deception;Move;Rouge;Rocker;Godchild;Moon Dreams;Venus de Milo;Budo;Boplicity;Darn that dream;Jeru;;
101091;a60c160c;René Sopa;Sandunga;jazz;;;;Sandunga;Recordacao;Mister Richard;Touches Noires;Sol do Algarve;Impasse des levandes;Pensées jazz;My one and only love;Grito;La valse du soleil;Odéon;Lucie;;
101092;a60c670c;Variety of Jazz Artists;The Very Best Of The Jazz Giants - Disc 3;jazz;;;;Mongo Santamaria - Watermelon Man;Gene Ammons - Let It Be You;Terry Gibbs - The Claw;Etta Jones - Don't Go To Strangers;Dexter Gordon - The Group;Count Basie - St Louis Blues;Mose Allison - The Seventh Son;Stanley Turrentine - Have You Ever Seen;Kessel, Manne & Brown - Minor Mood;Bill Evens - TTT - Twelve Tone Tune;Jack McDuff - Whap!;Joe Pass - Oleo;;
101093;a60cbb0d;Judith Durham;Always There;jazz;;;;Always There;Catch the Wind;Love Song;Someone Out There;Northern Lights;Adios Amor;Morning has broken;Put a little love in your heart;Saltwater;Mona Lisas and Mad Hatters;You've got a friend;I am Australian;End of the World;
101094;a60cfb0c;Fred Lonberg-Holm;Site-Specific: Duets for Cello and Guitar;jazz;;Fred Lonberg-Holm: Cello\nAll Others: Guitar\nEach duet recorded at its g;;Jim O'Rourke;Ben Vida;Kevin Drumm;Todd Rittman;Michael Krassner;Charles Kim;Jeb Bishop;John Corbett;Helen Mirra;Michael Zerang;Adam Sonderberg;Jim Baker;;
101095;a60d060e;Andre Previn;Ballads;jazz;Easy Listening;;1996;More than you know;It could happen to you/Rainy Day;My Funny Valentine;How are things in Glocca Morra?;Have you met Miss Jones/Nobody's Heart;In our little boat;As time goes by;My Melancholy Baby;It only happens when I dance without you;Angel Eyes;In the wee small hours of the morning;It might as well be Spring;The second time around;Dance of Life
101096;a60d170b;Boz Scaggs;Dig;jazz;;;;Payday;Sarah;Miss Riddle;I Just Go;Get on the Natch;Desire;Call That Love;King of El Paso;You're Not;Vanishing Point;Thanks to You;;;
101097;a60d2b0c;Various Artists;Original Cigar & Cocktail Blue;jazz;;;;Zdenek Kalhous - Blues For Irene;Arthur Johnston - Burke Johny - Pennies From Heaven;Ellington Edward Kennedy - Sophisticated Lady;Frantisek Uhlir - On Tuesday In Club;Errol Garner - Misty;Mc. Hugh Jimmy - Exactly Like You;Arlen Harold - Stormy Weather;Ellington Edward Kennedy - Satin Doll;Frantisek Uhlir - Father's Blues;Arlen Harold - It's Only A Paper Moon;Hoagy Carmichael - Star Dust;Marks Gerald - All Of Me;;
101098;a60d740d;DJ Crush and Toshinori Kondo;Ki-Oku;jazz;;;;Toh-Sui;Tobira-1;Mu-Getsu;Ha-Doh;Sun Is Shining;Mu-Chu;Tobira-2;Fu-Yu;Ki-Gen;Ko-Ku;Shoh-Ka;Bu-Seki;Tobira-3;
101099;a60d7e0c;Jacques Loussier Trio;Antonio Vivaldi - The Four Seasons - New Jazz Arrangements;jazz;Jazz - 3rd Stream;UPC: 089408341724\nLABEL: Telarc\nENSORECORD: 130781\n\nBy Jacques Loussier Trio YEAR: 1997 ID3;1997;Spring, Con No.1 in E - Allegro;Spring, Con No.1 in E - Largo;Spring, Con No.1 in E - Allegro - Danza Pastorale;Summer, Con No.2 in G - Allegro Non Molto;Summer, Con No.2 in G - Adagio;Summer, Con No.2 in G - Presto;Autumn, Con No.3 in F - Allegro;Autumn, Con No.3 in F - Adagio molto;Autumn, Con No.3 in F - Allegro;Winter, Con No.4 in F - Allegro Non Molto;Winter, Con No.4 in F - Largo;Winter, Con No.4 in F - Allegro;;
101100;a60d860c;Michael Franks;Dragonfly Summer;jazz;Jazz;;1993;Coming To Life;Soul Mate;Dragonfly Summer;Monk's New Tune;Learning What Love Means;I Love Lucy;Practice Make Perfect;String Of Pearls;Keeping My Eye On You;The Dream;You Were Meant For Me;How I Remember You;;
101101;a60de00c;æ?¾å±…æ…¶å­?;æŒ‡ç’°ã€œYUBIWAã€œ;jazz;Jazz;;2002;Steps of Maya;Venus of the Sea;Moon Circle;Prism;The Next Plateau;Messenger;Deity in the Silence;The Ring;White Owl;Precious Time;The Next Plateauã€œsolo pianoã€œ;Prismã€œsolo pianoã€œ;;
101102;a60e000d;Sprinkhuizen Fennis & Didderen;hip, hip;jazz;Jazz;;2002;Hoge Hakken;Happy Monk;Caramac;Bloob;Droogkuis;Stan Opus One;Piet;Beachparty;Boing 747;Chanson pour Celine;Straight up and Down;De Vijver;Nazomer;
101103;a60e210c;Variousalek);godiva & joy the music (music selected by benjamin bialek);jazz;Lo-Fi;pias records 2003 FUP026;2003;nitin sawhney / letting go;röyksopp / sparks;obersoundz / escucha (&joy edit);goldfrapp / hairy trees;alpha / lipstick from the asylum;weekend player / jericho;red fish / summer;cinérex / shine (gerd *wide* remix);trash palace / your sweet love;erlend øye / sudden rush;micatone / to the sound;llorca / precious thing;;
101104;a60e450b;Joe Henry;Scar;jazz;;;;Richard Pryor Addresses A Tearful Nation;Stop;Mean Flower;Struck;Rough And Tumble;Lock And Key;Nico Lost One Small Buddha;Cold Enough To Cross;Edgar Bergen;Scar;;;;
101105;a60e7a0c;Paul Simon;Concert in the Park (CD2);jazz;Jazz;;1991;The Coast;Graceland;You Can Call Me Al;Still Crazy Afer ALl These Year;Love Me Like A Rock;Diamonds On The Soles Of Her Sh;Hearts And Bones;Late In The Evening;America;The Boxer;Cecilia;The Sound of Silence;;
101106;a60e920b;Various Artists;Euro Jazz 2002;jazz;Jazz;;2002;Alexi Tuomarila - Voices of Pohjola;Fun Horns - Indebted to Mr. Dolphy;Corrie van Binsbergen - Zoot-Suit I & II;Sabina Hank - Out in Birmingham;Yorgos Kontrafouris - Wake Up, My Love;Lindha Svantesson - Delicious;Tuomo Dahlblom - P-V;Isaac Turienzo - The Way You Look Tonight;Leana Sealy - Like a Lover;Paolo Fresu, Antonello Salis, Furio di Castri - Lester;Benoit Delbeco - Within the Mean Time;;;
101107;a60ed40d;Various Artists;The Best of the 1997 CT Jazz Festival;jazz;;;;Muskrat Ramble;My Sister Kate;The Preacher;Waltz Of The Secret Agents;Bye Bye Blues;Oh My Babe Blues;You Gotta See Your Mama Every Night;Breeze;Baby Won't You Please Come Home;Just A Gigolo;Don't Bring Lulu;Heebie Jeebies;High Society;
101108;a60ee10c;John Scofield;A Go Go;jazz;Jazz;YEAR: 1998 ID3G: 8;1998;A Go Go;Chank;Boozer;Southern Pacific;Jeep On 35;Kubrik;Green Tea;Hottentot;Chicken Dog;Deadzy;Like It or Not;Hope Springs Ethernal;;
101109;a60ee60c;Chuck Loeb;Memory Lane;jazz;;;;Memory Lane;Simple Things III;Daddy Longlegs;FYI;En El Rio;Gravity;Harbour Lights,;The Hello;Simple Faith;Magic Fingers;Blue;Carbo Fuel;;
101110;a60ee70c;Ted Rosenthal;Rosenthology;jazz;;;;Love Walked In;Snowscape;Slippin' and Slidin';Will You Still Be Mine?;Wow;Strike Up The Band;Primrose Path;All The Things You Are;The Scene Is Clean;The Gig;Someone To Watch Over Me;Over The Bars;;
101111;a60ef00b;George Benson;Jazz Masters 21;jazz;;;;Thunder Walk;Sack O' Woe;Tuxedo Junction;Billie's Bounce;Something/Octopus's Garden;What's new?;Shape of Things (To Come);The Boss;Out of The Blue;Low Down and Dirty;I Remember Wes;;;
101112;a60f3b0c;Music Spoken Here;Jazzpolice;jazz;Jazz;;1996;Fidus;A Piece of You;Jazzpolice;Talking Lines;Point of Fortune;No. 38;Tala;Konnakol-Chair;Mountain Lakes;What You Want;Shikasta;Astronaut;;
101113;a60f4d0b;David Doruzka;Hidden Paths;jazz;Jazz;;2004;Lightness;Tears;Evidence;107 Steps;Nature's song;I will keep searching;Satellite;Hope;Hidden Path;Will You Find Me?;Bonus - Hidden Track;;;
101114;a60f670c;MICHAEL BRECKER;NEARNESS OF YOU(THE BALLAD BOOK);jazz;;;;CHAN'S SONG;DON'T LET ME BE LONELY TONIGHT;NASCENTE;MIDNIGHT MOOD;THE NEARNESS OF YOU;INCANDESCENCE;SOMETIMES I SEE;MY SHIP;ALWAYS;SEVEN DAYS;I CAN SEE YOUR DREAMS;SAY IT(OVER AND OVER AGAIN);;
101115;a60fcf0c;Amon Tobin;Supermodified;jazz;Hip Hop;;;Get your snack on;Four ton mantis;Slowly;Marine machines;Golfer versus boxer;Deo;Precursor;Saboteur;Rhino jockey;Keepi´n it steel;Chocolate lovely;Natureland;;
101116;a610120d;Jim Self and Friends;New Stuff;jazz;;Trend Records, TRCD-548;;Breakthrough;New Stuff;Windsong;Cavatina;Kilo;Bosque de Manaus;Sinfonia III;Children at Play;Jitterbug Waltz;Walt's Samba;The Peacocks;Peggy's Blue Skylight;Secrets;
101117;a610150d;Many;Jazz Sampler;jazz;;;;Corcovado (Quiet Night of Quiet Stars);Caruso;splanky;Like I Do Now;Grasshoper;The Lady Wants to Know;Butterfly-Remix;Avec Le Temps;There's Only You;Husy-A-bye;Fair Weather;If You Go Away;Danny Boy;
101118;a6103c0c;Jarek Smietana;Extra Cream;jazz;;;;The Blues;Volunteered Slavery;God Bless the Child;Body and Soul;Poinciana;Line for Lyons;Sweet Goergia Bright;When I fall in Love;Georgia on My Mind;Love Letters;The First Take;The Duke;;
101119;a610400c;Emilie Claire Barlow;Happy Feet;jazz;;;;Freddie Freeloader;;;;;;;;;;;;;
101120;a610700d;sampler;The Soundtrack vol 1;jazz;Ambient;;;"Isabelle Antena \Antena\""""";"Batu \Seasons of my Mind\""""";"Diana Brown and the Brothers \Yes, it's You\""""";"Marden Hill \Harlem River Drive\""""";"Dig! Alliance \ Rotor Vibe\""""";"Natural 7 \The Secret of Natural 7\""""";"Red \Squealer\""""";"Shantel \Azulee\""""";"Nightmares on Wax \Stars\""""";"Cool Blu \Agua Blu\""""";"Dub Tractor \104 Dub\""""";"Waldeck \Aquarius\""""";"Thievery Corporation \One\""""";
101121;a6108f0c;Dizzy Gillespie;Verve Jazz Masters 10;jazz;Jazz;Small combos, big brands, Latin jazz - Diz the Whiz fronted\nallkinds of ensembles. The trumpet giant is featured here\nwith Candido, Roy Eldridge, Thelonlous Monk, James Moody,\nLee Morgan, andSonny Stitt. YEAR: 1993;1993;Manteca;November  Afternoon;A Night In Tunisia;Tour De Force;Trumpet Blues;Con alma;I Can't Get Started - 'Round Midnight -Medley;Africana;Birks' Works;Desafinado;Leap Frog - Take 5;Swing Low, Sweet Cadillac;;
101122;a610fc0b;Hubert Laws;The Best Of Hubert Laws;jazz;;;;Syrinx;Fire And Rain;Allegro from Concerto #3 in D;The Rite Of Spring;Amazing Grace;Morning Star;Moment's Notice;Gympopedie #1;The Chicago Theme (Love Loop);Midnight At The Oasis;Farandole (L'Alesienne Suite #2);;;
101123;a611510c;John Coltrane;Prestige Recordings #4;jazz;Jazz;;;I Could Write A Book;Oleo;Airegin;Tune Up;When Lights Are Low;Blues By Five;Mating Call;Soultrane;Gnid;Super Jet;On A Misty Night;Romas;;
101124;a6115d1b;Jerry Bergonzi;Inside Improvisation Vol.2 Pentatonics;jazz;Jazz;;;Tuning Notes;Minor 7th Cycle;Major 7th Cycle;Say It Again;Minor 6th Cycle;Dominant 7th Cycle;Dominant Altered Cycle;Minor 7b5 Cycle;Minor Blues (3 Keys);Major Blues (3 Keys);Before It Happens;Initiation;Initiation (Bridge Cycle A And B);Major B5 Cycle
101125;a611730b;Kim Paterson;Impending Journey;jazz;;;;Mink;Lost & Found;Tariqat;Miguel;Peace;Vision;Old Folks;Daaman;How Insensitive;Impending Journey;Gujerati Art;;;
101126;a6117d0c;NOW JAZZ(VA);NOW JAZZ 4;jazz;Jazz;YEAR: 1997;1997;TAKE FIVE / DAVE BRUBECK;WATERMELON MAN / HERBIE HANCOCK;LET'S GET LOST / CHET BAKER;'ROUND ABOUT MIDNIGHT / MILES DAVIS;KELLY BLUE / WYNTON KELLY;SENOR BLUES / HORACE SILVER;I REMEMBER CLIFFORD / LEE MORGAN;AUTUMN LEAVES / BILL EVANS;(GET YOUR KICKS ON)ROUTE 66! / NAT KING COLE;AFRODISIA / KENNY DORHAM;BLUE SANDS / CHICO HAMILTON;BLUES MARCH / ART BLAKEY AND THE JAZZ MESSENGERS;;
101127;a611af0d;St Christophers Jazz Band;Gee Gosh Baby;jazz;;;;Intro;Blue Bossa;All of Me;Watermelon Man;So What;Blue Monk;Blue Bossa 2;Intro (Second Concert);Blue Bossa  (Second Concert);All of Me  (Second Concert);Watermelon Man  (Second Concert);So What  (Second Concert);Blue Monk  (Second Concert);
101128;a708e50c;Billie Holiday;Lady's Decca Days Volume Two;jazz;;;;Ain't Nobody's Bizness;The Blues Are Brewin';Prorgy And Bess;Good Morning Heartache;Do Your Duty;You're My Thrill;Somebody's On My Mind;You Can't Lose A Broken Heart;Solitude;Lover Man (Oh Where Can You Be?);Them There Eyes;Deep Song;;
101129;a7090c0d;Erroll Garner;Yesterdays;jazz;;;;Play Fiddle Play;Dark Eyes;Laff Slam Laff;Jumpin' at the Deuces;September Song;Everything Happens to Me;I Only Have Eyes for You;A Cottage for Sale;On the Sunny Side of the Street;All the Things You Are;Rosalie;Stairway to the Stars;Yesterdays;
101130;a709290c;Squirrel Nut Zippers;Perennial Favorites;jazz;Swing;YEAR: 1998 ID3G: 83;1998;Suits Are Picking Up The Bill;Low Down Man;Ghost Of Stephen Foster;Pallin' With Al;Fat Cat Keeps Getting Fatter;Trou Macacq;My Drag;Soon;Evening At Lafitte's;The Kraken;That Fascinating Thing;It's Over;;
101131;a709630d;Irene Kral;Lady of lavender;jazz;Jazz;Park Place Productions, PO Box 7277, Burbank, CA 91510;1998;Lucky to be me;It's anybody's spring;Wheelers and dealers;Once upon another time;The song is you;Lady of Lavendar;Misty rose;On top of Mt. Tipsy;Poems to eat;Benjamin;Unlit room;Straight ahead;Little bitty boy;
101132;a70a5c0c;The Klucevsek + Bern Unit;Live @ The Kitchen, NYC;jazz;;Guy Klucesvek (GK): compositions, accordion\nAlan Bern (AB): comp;;Bar Talk (GK);Mr. Glime-Glide (GK);Life, Liberty and the Prosciutto Happiness (GK);Hegel's Fantasy (AB);Astor PLace (GK);Dueling Dovidls (AB);Birthdays (AB);Angel Blue (AB);Mug Shots: Psychotria Nervosa (Wild Coffee) (GK);Mug Shots: The Girl With The Rose Hips (GK);Mug Shots: Decaffinata (GK);The Gunks (GK);;
101133;a70add0c;Gal Costa;GalBossaTropical;jazz;Rock;ID3G:  17 YEAR: 2002;2002;Socorro;The Fool On The Hill;Onde Deus Possa Me Ouvir;Mulher (Sexo Frágil);Quando Eu Fecho Os Olhos;Desde Que O Samba É Samba;Epitáfio;As Time Goes By;Ovelha Negra;Marcianita;O Amor Em Paz;Cada Macaco No Seu Galho (Cho Chuá);;
101134;a70b590d;Various Artists;Cool Jazz;jazz;Jazz;;2001;Bud Shank / Take Five;Miles Davis / Moon Dreams;Stan Getz & Chet Baker / What's New;Art Pepper / Summertime;Stan Kenton / Darn That Dream;Laurindo Almeida & Bud Shank / Round Midnight;Chet Baker / I Fall In Love Too Easily;Gerry Mulligan / Makin' Whoppee;Shorty Rogers & His Giants / Over The Rainbow;Jimmy Guiffre / Ironic;Lee Konitz with The Gerry Mulligan Quartet / Lover Man;Jimmy Hall Trio / Stella By Starlight;Chico Hamilton Quintet / My Funny Valentine;
101135;a70bfd0c;Didier Lockwood;Onztet De Violon Jazz;jazz;;;;V11;Onze Têtes De Turc;Lantou Late;Tango;Little GB;Tatave;Musicora Shuffle;Paghetto;Minoa;Jingle Belge;Un'd'trop;String Time;;
101136;a70c2b0c;Hiroshima;Between Black &White;jazz;jazz;;;Mix Plate;Dreams;The Door is Open;Joe Jazz;Sup Poze;Picasso's Dance;After the Rain;Things Unsaid;Circle of Friends;World of Dreams;Omotai;Sol Cruz;;
101137;a70c470c;Charlie Parker;Groovin' High;jazz;;;;Night In Tunisia;Dizzy Atmosphere;Confirmation;Barbados;Bird Feathers;Groovin' High;Koko;The Gypsy;April In Paris;Round About Midnight;Mambo;Little Willie/52nd St. Theme;;
101138;a70cb30c;Ahleuchatistas;On The Culture Industry;jazz;Jazz+Funk;YEAR: 2004;2004;Intro;The Machines Became Cognizant;Lacerate;A Thought Like a Hammer;Al Jazeera;I Don't Remember Falling Asleep Here;Right Sock Brown, Red Leg Blue;Fodder For Defamation;(IBID.4);Tentacle;Empathievery;Lament For Bhopal;;
101139;a70cf70a;Brian Hughes;Straight To You;jazz;Jazz;;1995;Soul Fruit;Pica;Andalusian Night;Straight To You;Sleeping Angel;Casa Magical;Pamela;Sesimbra Sun;Bridges And Rain;And To Beauty;;;;
101140;a70d0e0d;Omar;This is not a love song;jazz;Acid Jazz;;1997;This Is Not A Love Song (Intro);This Is Not A Love Song;Say Nothing (Original Version);Wherever;Fallin';Music For The Pipe;Never Too Late (Long Version);Golden Brown;Lullaby;Waiting Game;Spring Step;The World Of You;Say Nothin' (feat. Ol' Dirty Bastard Of Wu-Tang Clan);
101141;a70d430b;Hendrik Meurkens & Nilson Matta;Encontros;jazz;Jazz;ID3G: 8;;Summer In San Francisco;Baden;Amor Em Paz;Chorinho No. 2;Rosa;Junity;Chega de Saudade;Prague In March;Forests;This Is For Luisa;O Ovo;;;
101142;a70d5e0c;Elizabeth Carthew;Elizabeth Carthew EC001;jazz;;"Musicians:\n\nElizabeth Carthew, all vocals, tumpet, flugelhorn; piano";;My Favourite Things;Green Dolphin Street;From Both Sides Now;Let's Face The Music & Dance;Exactly Like You;Spain;Nadalin;Lover Man;Summertime;Fascinating Rhythm;The Greatest Thing/ Nature Boy;Come Rain Or Come Shine;;
101143;a70d5f0c;Samla Mammas Manna;Maltid;jazz;;;;Dundrets fr jder;Of rutsedd f rlossning;Den aterupplivade laten;Folkvisa i morse;Syster system;T rningen;Svackorpo ngen;Minareten;Vaerelseds tilbud;Minareten II;Circus Apparatha;Probably the probably;;
101144;a70d690c;Various;The Cool School of Jazz;jazz;;;;Okra / Alex Bugnon;Last XT / Roy Ayers;Promises / Warren Hill;Now Or Never / Hugh Masekela;Too High / Pat Martino;I'll Be Good To You / Najee;Ruby Jubilation / Les McCann;That's The Way Love Goes / Norman Brown;Shakedown / Spyro Gyra;Many Chinas / Mark Isham;Flamingo / Ray Obiedo;Groovin' High / Toots Thielemans;;
101146;a70d9b0c;Various Artists;The Colors of Latin Jazz - A Latin Vibe!;jazz;Jazz;;;Tito Puente / Mambo Diablo;Carribean Jazz Project / Arthur's Dance;Manfredo Fest / Madison Square;Cal Tjader / Aleluia;Poncho Sanchez / Morning;Ray Vega / Stepping Stone;Gary Burton / Tanguedia;Carribean Jazz Project / Descarga Canelon;Cal Tjader / Speak Low;Poncho Sanchez / Song for Cal;Hendrik Meukens / Prague in March;Tito Puente / Jordu;;
101147;a70da90d;Isley Meets Bacharach;Here I Am;jazz;Soul;;;Alfie;Raindrops Keep Falling On My Head;In Between The Heartaches;Make It Easy On Yourself;A House Is Not A Home;The Look Of Love;Count On Me;This Guy's In Love With You;Close To You;Anyone Who Had A Heart;Love's (Still) The Answer;Here I Am;Windows Of The World;
101148;a70dde0c;Eddie Katindig;Best Of Eddie K.;jazz;Jazz;;;Cruising For Bruising;Feel So Good (Live);Somewhere In Time;Unchained Melody;Time And Tide;Shaker's Song;Promises;Silhoutte;Better Days;Someone To Watch Over Me (Live);Lovely Day;Misty (Live);;
101149;a70e710b;Oscar Peterson;live at Salle Pleyel CD 2;jazz;Jazz;Oscar Peterson p\nSam Jones b\nBobby Durham dr\n(6-8:Butch Watanabe tb)\n;2002;Tristeza;By The Time I Get To Phoenix;Let's Fall In Love;Someday My Prince Will Come;Lined With A Groove;Billie's Bounce;Fly Me To The Moon;Squeaky's Blues;The Days Of Wine + Roses;Waltzing Is Hip;Blues Etude (Concert Closing);;;
101150;a70e9c0d;Scott Fields Quintet;Running With Scissors;jazz;Jazz;YEAR: 1993 ID3G: 8;1993;Exogamy;1/3 Dutch;An Ounce Of Sense;I Want To Be A Millionaire But I Don't Have A Tuxedo;Pieces of Piggy;Mulch;Theyarepowerfulandwewerestupid;Blue Spark Suite - The Brooding Bag;Blue Spark Suite - Hurricane Sponge Bath;Blue Spark Suite - Roses At The Great Dismal Swamp;Blue Spark Suite - The Oysterers;Blue Spark Suite - Is That Oshawa?;untitled;
101151;a20ec30b,a70ec30b;Stefano di Battista;Stefano di Battista;jazz;;;;Elvin's Song;Johnny's Time;Nico's Dream;Your Romance;Little Red Ribbon;Adderley;Hall;Song For Flavia;Time For A Solo;Anastasia;Chicago 1987;;;
101153;a70ef80d;Diana Krall;The Look of Love;jazz;Easy Listening;Japan Bonus CD;2001;S'wonderful;Love Letters;I Remember You;Cry Me a River;Besame Mucho;The Night We Call It a Day;Dancing in the Dark;I Get Along Without You Very Well;The Look of Love;Maybe You'll Be There;I Should Care;Maybe You'll Be There (Live);Charmed Life;
101154;a70f440b;HARA Tomonao;Tonycally;jazz;JAZZ;;2003;Fool's Day;Nothing to Declare;My Treasure;Silhouettes;Blue Means Green;Isn't She Lovely;5&4;Narick;Dance in the Moon;No Woman No Cry;Jog;;;
101155;a70f440d;Woody Herman;1963 Summer Tour;jazz;Jazz;;;Introduction;The Preacher;Jazz me Blues;Watermelon Man;Four Brothers;It's a Lonesome Old Town;Sister Sadie;Molassas;Summertime;Mood Indigo;Unknown Title;Sidewalks of Cuba;Blues Groove;
101156;a70fdd0d;Chris Barber Jazz And Blues Band- Live 1998;Cornbread, Peas And Black Malasses - Live 1998;jazz;Jazz;;1998;Bourbon Street Parade;Maple Leaf Rag;Alligator Hop;Cornbread, Peas And Black Molasses;Mood Indigo;Isle Of Capri;South Ramparts Street Parade;Big Noise From Winnetka - Pitt's Extract;St. Louis Blues - Sax 'A' Bone;Immigration Blues;Wild Cat Blues;Thigt Like That;High Society;
101157;a710190c;Sonny Clark;Sonny Clark Trio (+4);jazz;;;;Minor Meeting;Nica;Sonny's Crip;Blues Mambo;Blues Blue;Junka;My Conception;Sonia;Nica (alt.);Blues Blue (alt.);Junka (alt.);Sonia (alt.);;
101158;a710280b;Various;Trumpet Summit;jazz;jazz;;;Bopzutti / Vizzutti, DiMartino, Shew;Laura Joy / Vizzutti, DiMartino, Shew;Dragonfly / Vizzutti;Autumn Leaves / DiMartino;Daahoud / Shew;Its Only a Paper Moon / Vizzutti, DiMartino, Shew;Moonglow / Vizzutti, DiMartino, Shew;It's a Heavy Town / Vizzutti;Bye Bye Blackbird / DiMartino;You Dont Know What Love Is / Vizzutti, DiMartino, Shew;All the Things You Are / Vizzutti, DiMartino, Shew;;;
